Severity	Code	Description	Project	File	Line	Column	Category	Details
Error (active)	CS1022	Type or namespace definition, or end-of-file expected	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	7	14	Compiler	
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	7	1	Compiler	
Error (active)	CS1520	Method must have a return type	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	7	16	Compiler	
Error (active)	CS0501	'<invalid-global-code>.<invalid-global-code>(_dxgiDevice)' must declare a body because it is not marked abstract, extern, or partial	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	7	16	Compiler	
Error (active)	CS0246	The type or namespace name '_dxgiDevice' could not be found (are you missing a using directive or an assembly reference?)	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	7	41	Compiler	
Error (active)	CS1001	Identifier expected	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	7	52	Compiler	
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	8	1	Compiler	
Error (active)	IDE1007	The name '_dcompTarget' does not exist in the current context.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	8	1	Compiler	
Error (active)	CS1022	Type or namespace definition, or end-of-file expected	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	8	14	Compiler	
Error (active)	IDE1007	The name '_dcompDevice.CreateTargetForHwnd' does not exist in the current context.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	8	16	Compiler	
Error (active)	IDE1007	The name '_dcompDevice' does not exist in the current context.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	8	16	Compiler	
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	8	29	Compiler	
Error (active)	IDE1007	The name 'CreateTargetForHwnd' does not exist in the current context.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	8	29	Compiler	
Error (active)	IDE1007	The name '_hwnd' does not exist in the current context.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	8	49	Compiler	
Error (active)	CS1031	Type expected	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	8	56	Compiler	
Error (active)	CS1026	) expected	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	8	56	Compiler	
Error (active)	CS1022	Type or namespace definition, or end-of-file expected	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	8	56	Compiler	
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	9	1	Compiler	
Error (active)	IDE1007	The name '_dcompVisual' does not exist in the current context.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	9	1	Compiler	
Error (active)	CS1022	Type or namespace definition, or end-of-file expected	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	9	14	Compiler	
Error (active)	IDE1007	The name '_dcompDevice.CreateVisual' does not exist in the current context.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	9	16	Compiler	
Error (active)	IDE1007	The name '_dcompDevice' does not exist in the current context.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	9	16	Compiler	
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	9	29	Compiler	
Error (active)	IDE1007	The name 'CreateVisual' does not exist in the current context.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	9	29	Compiler	
Error (active)	CS8124	Tuple must contain at least two elements.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	9	42	Compiler	
Error (active)	CS1022	Type or namespace definition, or end-of-file expected	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	9	43	Compiler	
Error (active)	IDE1007	The name '_dcompVisual.SetContent' does not exist in the current context.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	10	1	Compiler	
Error (active)	IDE1007	The name '_dcompVisual' does not exist in the current context.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	10	1	Compiler	
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	10	14	Compiler	
Error (active)	IDE1007	The name 'SetContent' does not exist in the current context.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	10	14	Compiler	
Error (active)	IDE1007	The name 'SwapChain' does not exist in the current context.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	10	25	Compiler	
Error (active)	CS8124	Tuple must contain at least two elements.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	10	34	Compiler	
Error (active)	CS1022	Type or namespace definition, or end-of-file expected	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	10	35	Compiler	
Error (active)	IDE1007	The name '_dcompTarget.SetRoot' does not exist in the current context.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	11	1	Compiler	
Error (active)	IDE1007	The name '_dcompTarget' does not exist in the current context.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	11	1	Compiler	
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	11	14	Compiler	
Error (active)	IDE1007	The name 'SetRoot' does not exist in the current context.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	11	14	Compiler	
Error (active)	IDE1007	The name '_dcompVisual' does not exist in the current context.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	11	22	Compiler	
Error (active)	CS8124	Tuple must contain at least two elements.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	11	34	Compiler	
Error (active)	CS1022	Type or namespace definition, or end-of-file expected	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	11	35	Compiler	
Error (active)	IDE1007	The name '_dcompDevice.Commit' does not exist in the current context.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	12	1	Compiler	
Error (active)	IDE1007	The name '_dcompDevice' does not exist in the current context.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	12	1	Compiler	
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	12	14	Compiler	
Error (active)	IDE1007	The name 'Commit' does not exist in the current context.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	12	14	Compiler	
Error (active)	CS8124	Tuple must contain at least two elements.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	12	21	Compiler	
Error (active)	CS1022	Type or namespace definition, or end-of-file expected	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	12	22	Compiler	
Error (active)	CS1022	Type or namespace definition, or end-of-file expected	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	13	1	Compiler	
Error (active)	CS8803	Top-level statements must precede namespace and type declarations.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	16	1	Compiler	
Error (active)	CS0106	The modifier 'public' is not valid for this item	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	16	1	Compiler	
Error (active)	CS8802	Only one compilation unit can have top-level statements.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	16	1	Compiler	
Error (active)	CS0103	The name 'SwapChain' does not exist in the current context	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	19	28	Compiler	
Error (active)	CS0103	The name 'Device' does not exist in the current context	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	20	21	Compiler	
Error (active)	CS0103	The name 'Context' does not exist in the current context	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	22	5	Compiler	
Error (active)	CS0103	The name 'Context' does not exist in the current context	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	23	5	Compiler	
Error (active)	CS0106	The modifier 'public' is not valid for this item	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	27	1	Compiler	
Error (active)	CS0103	The name 'SwapChain' does not exist in the current context	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	29	5	Compiler	
Error (active)	CS0103	The name '_dcompDevice' does not exist in the current context	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	30	5	Compiler	
Error (active)	CS0106	The modifier 'public' is not valid for this item	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	34	1	Compiler	
Error (active)	CS0103	The name '_dcompVisual' does not exist in the current context	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	36	5	Compiler	
Error (active)	CS0103	The name '_dcompTarget' does not exist in the current context	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	37	5	Compiler	
Error (active)	CS0103	The name '_dcompDevice' does not exist in the current context	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	38	5	Compiler	
Error (active)	CS0103	The name 'SwapChain' does not exist in the current context	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	39	5	Compiler	
Error (active)	CS0103	The name '_dxgiFactory' does not exist in the current context	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	40	5	Compiler	
Error (active)	CS0103	The name '_dxgiAdapter' does not exist in the current context	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	41	5	Compiler	
Error (active)	CS0103	The name '_dxgiDevice' does not exist in the current context	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	42	5	Compiler	
Error (active)	CS0103	The name 'Context' does not exist in the current context	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	43	5	Compiler	
Error (active)	CS0103	The name 'Device' does not exist in the current context	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	44	5	Compiler	
Error (active)	CS1022	Type or namespace definition, or end-of-file expected	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\D3DHost.cs	46	1	Compiler	
Error (active)	CS1002	; expected	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\ImGuiRendererD3D11.cs	8	11	Compiler	
Error (active)	CS0116	A namespace cannot directly contain members such as fields, methods or statements	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\ImGuiRendererD3D11.cs	8	11	Compiler	
Error (active)	IDE1007	The name 'vsBlob' does not exist in the current context.	Starboard	C:\Users\Rayla\Documents\Visual Studio Projects\Starboard\Starboard\ImGuiRendererD3D11.cs	8	11	Compiler	
